"No.","Time","Source","Destination","Protocol","Length","Info"
"545","1061.100159","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"546","1062.649876","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"548","1065.060829","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"549","1065.500299","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"551","1067.606702","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"552","1069.702419","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"553","1070.226287","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"554","1071.993155","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"555","1074.557751","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"556","1074.633988","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"558","1076.549332","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"560","1079.009846","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"561","1079.249941","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"562","1080.871666","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"563","1083.529729","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"564","1083.968601","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"566","1085.666178","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"568","1087.923310","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"569","1088.771607","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"570","1090.588818","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"571","1092.646540","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"572","1093.264853","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"573","1094.893404","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
"575","1097.156257","172.16.12.2","224.0.0.10","EIGRP","130","Hello"
"579","1098.132865","172.16.12.1","224.0.0.10","EIGRP","114","Hello"
"580","1099.593690","172.16.12.2","224.0.0.10","EIGRP","114","Hello"
